No,코드,세부 코드,시트 링크,최종 소개서,키워드 구분,과정 명,권장 대상,AX 단계,소요 시간,작성자,대표 사례,레퍼런스 기업,업종,교육대상,제작년도,소개서,상세 키워드,추가 제안,사업 url,비고
32,자-개-4,자-개-4-001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=2082765214#gid=2082765214,,자동화/에이전트,Security Agent & RAG 실무 과정,개발자,4단계,70,김영광,현대자동차,대기업,,,2026,,,,,
44,-개-,-개--001,,,,AI엔지니어링,개발자,,0,,SKT,,,,,,,,,
28,생-관-1,생-관-1-001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=481254817#gid=481254817,,생성형 AI,스타트업 임원을 위한 문서 자동화,관리자 및 경영진,1단계,0,이은경,한성대,학교,,,이은경,,,,,
33,자-관-3,자-관-3-001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=1979471732#gid=1979471732,,자동화/에이전트,프랜차이즈 AI 대시보드: 매출부터 인력 최적화까지,관리자 및 경영진,3단계,8,김영광,아티제,,,,2026,,#프랜차이즈분석 #SPLH #IPLH #수요예측 #외부API연동 #실시간대시보드,,,
34,바-대-1,바-대-1-001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=2137276224#gid=2137276224,,바이브코딩/AI코딩,전공 데이터로 시작하는 바이브코딩 입문,대학생/취준생,1단계,4,김영광,인천대,학교,,,2026,,,,,
1,바-전-1,바-전-1-001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=1046919861#gid=1046919861,https://drive.google.com/file/d/1pVlCdoR7-0T5xABI2XwTvLcNcofryqsT/view?usp=drive_link,바이브코딩/AI코딩,디자인씽킹 기반 AX 아이디어톤,전사 비개발 및 실무자,1단계,16,김도희,한화생명(2025),대기업,,,2026,반영 완료,,,,
2,생-전-1,생-전-1-001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=1790311247#gid=1790311247,,생성형 AI,생성형 AI 활용 콘텐츠 생성 입문,전사 비개발 및 실무자,1단계,0,,,,,,2025,,,,,
3,바-전-2,바-전-2-001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=1692097867#gid=1692097867,,바이브코딩/AI코딩,데이터 분석 및 시각화,전사 비개발 및 실무자,2단계,15,김영광,연세대 겨울 AX캠프(2026),학교,,,2025,,,,,
5,생-전-1,생-전-1-002,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=400715023#gid=400715023,,생성형 AI,취업 성공을 부르는 AI 역량 강화 패키지,전사 비개발 및 실무자,1단계,48,김영광,청년창업마루 연계 교육(2026),학교,,,2026,,,,,
14,바-전-3,바-전-3-001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=1692097867#gid=1692097867,,바이브코딩/AI코딩,바이브코딩 AtoZ: 교사를 위한 AI 활용 역량 강화 과정,전사 비개발 및 실무자,3단계,40,김영광,한기대(2026),학교,,,2026,,,,,
7,생-전-2,생-전-2-001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=1182948474#gid=1182948474,,생성형 AI,MS Copilot 실무 활용 과정 ,전사 비개발 및 실무자,2단계,14,김도희,,,,,2025,,,,,
8,생-전-2,생-전-2-002,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=1120978230#gid=1120978230,,생성형 AI,건설/설계 실무자를 위한 AI 워크플로우 혁신,전사 비개발 및 실무자,2단계,5,김도희,케이지엔지니어링(2025),대기업,,,2025,,,,,
9,생-전-2,생-전-2-003,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=1781799515#gid=1781799515,,생성형 AI,AI 기획자(컨설턴트) 양성 과정,전사 비개발 및 실무자,2단계,0,김도희,한화시스템(2025),대기업,,,2026,,,,,
10,바-전-2,바-전-2-002,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=358796938#gid=358796938,,바이브코딩/AI코딩,연구원을 위한 바이브 코딩 과정,전사 비개발 및 실무자,2단계,0,이은경,에트리(2025),공기업,,,2025,,,,,
13,생-전-1,생-전-1-003,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=353765086#gid=353765086,,생성형 AI,업무를 혁신하는 생성형 AI 기초와 활용 특강,전사 비개발 및 실무자,1단계,2,김도희,아모레퍼시픽(2025),대기업,,,2025,,,,,
19,기-전-2,기-전-2-001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=1363237174#gid=1363237174,,기타,디지털 트윈으로 만나는 Physical AI(재직자 대상),전사 비개발 및 실무자,2단계,24,김영광,한국공학대학교(2025),,,,2025,반영 전,#physcial AI #디지털트윈 #VBA,,,
16,생-전-1,생-전-1-004,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=1364833694#gid=1364833694,,생성형 AI,생성형 AI 기반 교육자료 혁신과 실전 적용,전사 비개발 및 실무자,1단계,10,이은경,한국장애인고용공단(2025),공공기관,,,2025,,,,,
17,자-전-1,자-전-1-001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=1478071076#gid=1478071076,,자동화/에이전트,비영리 활동가를 위한 자동화 과정,전사 비개발 및 실무자,1단계,0,이은경,동그라미재단(2025),공공기관,,,2025,,,,,
21,생-전-2,생-전-2-004,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=86423569#gid=86423569,,생성형 AI,상업용 AI 콘텐츠 실전 패키지,전사 비개발 및 실무자,2단계,8,김영광,딥다이브(2026),,,,2026,,#AI 콘텐츠 컴플라이언스 #AI 콘텐츠 제작                ,,,
22,생-전-1,생-전-1-005,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=615251259#gid=615251259,,생성형 AI,실무에 바로 활용하는 AI ,전사 비개발 및 실무자,1단계,21,김영광,아모레퍼시픽 - 딥리서치로 보는 브랜딩 전략 수립과 마케팅 콘텐츠 생성,대기업,,,2026,,,,,
23,자-전-1,자-전-1-002,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=409079508#gid=409079508,,자동화/에이전트,MS Power Automate 기반 자동화 과정,전사 비개발 및 실무자,1단계,4,이은경,비오메리으,,,,2025,,,,,
25,바-전-1,바-전-1-002,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=189199815#gid=189199815,,바이브코딩/AI코딩,PM을 위한 서비스 기획 및 개발 바이브코딩 과정                ,전사 비개발 및 실무자,1단계,16,이은경,카카오페이,대기업,,,2026,,,,,
29,생-전-1,생-전-1-006,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=1603866521#gid=1603866521,,생성형 AI,AI로 이미지 및 영상 광고 제작 입문,전사 비개발 및 실무자,1단계,0,이은경,한성대,학교,,,이은경,,,,,
30,생-전-1,생-전-1-007,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=191741387#gid=191741387,,생성형 AI,AI 실무 역량 강화 AtoZ: 비즈니스를 위한 AI 툴킷,전사 비개발 및 실무자,1단계,60,김영광,서울청년센터 강북,공공기관,,,2026,,,,,
35,-전-,-전--001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?usp=sharing,,,마케팅 직무,전사 비개발 및 실무자,,0,,아모레퍼시픽(2025),대기업,,,,,,,https://drive.google.com/drive/folders/1Wb9cfiClIpV7XF64VIzNesrI62njM58X?usp=drive_link,
36,-전-,-전--002,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?usp=sharing,,,경영 직무,전사 비개발 및 실무자,,0,,KCH,,,,,,,,https://drive.google.com/drive/folders/1lee67b7qqC_fzOqMQBRTgIsTI9uBrdpf?usp=drive_link,
37,-전-,-전--003,,,,HR/인재양성 직무,전사 비개발 및 실무자,,0,,풀무원,,,,,,,★ 확인필요 (커리큘럼 없음/모두콘),https://drive.google.com/drive/folders/1YRGTCV-He_-J47QHBYbul2AGEO-GRdbN?usp=drive_link,"<- 이화여대 관련 문서 해당 폴더 외 없음
(2025 모두콘 연계~2026 캠퍼스타운) 히스토리만 확인됨 
커리큘럼 확인 필요"
38,-전-,-전--004,,,,고객서비스,전사 비개발 및 실무자,,0,,KTds,,,,,,,,https://drive.google.com/drive/folders/1M8eHYiaRjW8XPpYZlEbIq2OU1zFygzOP?usp=drive_link,
39,-전-,-전--005,,,,행정/공공 서비스,전사 비개발 및 실무자,,0,,행정안전부,,,,,,,,https://drive.google.com/drive/folders/1kdeci-uIe-9neE4GRPZMESXA0pQzIvAW?usp=drive_link,
40,-전-,-전--006,,,,생산/제조 ,전사 비개발 및 실무자,,0,,한화시스템,,,,,,,★ 연도별 확인필요,https://drive.google.com/drive/folders/1ddhDUyGSDbPN1ZMEbR5gxcNhAvC8TGpX?usp=drive_link,
41,-전-,-전--007,,,,교통/물류,전사 비개발 및 실무자,,0,,대한민국 국방부/인천대,,,,,,,★ 확인필요 (커리큘럼 없음) ,https://drive.google.com/drive/folders/1GdEDu_jQ3oALPPjdUvnkOyFpP7xTasFK?usp=drive_link,"국방부 관련 자료 해당 폴더 외 없음
2024년 KOSSA와 함께 진행한 국방부 대상 교육 있지만 과정과 불일치 - 커리큘럼 확인 필요"
42,-전-,-전--008,,,,건설/건축,전사 비개발 및 실무자,,0,,KG엔지니어링,,,,,,,,https://drive.google.com/drive/folders/1Lr7g1PbUgClpQkMtixMviG1Aq0JXHK8T?usp=drive_link,
43,-전-,-전--009,,,,보안,전사 비개발 및 실무자,,0,,리버밴스,,,,,,,,https://drive.google.com/drive/folders/1iBSAROHm5sbHHDudlFzf-dEVZOa39Ath?usp=drive_link,
45,--,---001,,,,,,,0,,,,,,,,,,,
46,--,---002,,,,,,,0,,,,,,,,,,,
47,--,---003,,,,,,,0,,,,,,,,,,,
48,--,---004,,,,,,,0,,,,,,,,,,,
49,--,---005,,,,,,,0,,,,,,,,,,,
50,--,---006,,,,,,,0,,,,,,,,,,,
51,--,---007,,,,,,,0,,,,,,,,,,,
52,--,---008,,,,,,,0,,,,,,,,,,,
53,--,---009,,,,,,,0,,,,,,,,,,,
54,--,---010,,,,,,,0,,,,,,,,,,,
55,--,---011,,,,,,,0,,,,,,,,,,,
56,--,---012,,,,,,,0,,,,,,,,,,,
57,--,---013,,,,,,,0,,,,,,,,,,,
58,--,---014,,,,,,,0,,,,,,,,,,,
59,--,---015,,,,,,,0,,,,,,,,,,,
60,--,---016,,,,,,,0,,,,,,,,,,,
61,--,---017,,,,,,,0,,,,,,,,,,,
62,--,---018,,,,,,,0,,,,,,,,,,,
63,--,---019,,,,,,,0,,,,,,,,,,,
64,--,---020,,,,,,,0,,,,,,,,,,,
65,--,---021,,,,,,,0,,,,,,,,,,,
66,--,---022,,,,,,,0,,,,,,,,,,,
67,--,---023,,,,,,,0,,,,,,,,,,,
68,--,---024,,,,,,,0,,,,,,,,,,,
69,--,---025,,,,,,,0,,,,,,,,,,,
70,--,---026,,,,,,,0,,,,,,,,,,,
71,--,---027,,,,,,,0,,,,,,,,,,,
72,--,---028,,,,,,,0,,,,,,,,,,,
73,--,---029,,,,,,,0,,,,,,,,,,,
74,--,---030,,,,,,,0,,,,,,,,,,,
75,--,---031,,,,,,,0,,,,,,,,,,,
76,--,---032,,,,,,,0,,,,,,,,,,,
77,--,---033,,,,,,,0,,,,,,,,,,,
78,--,---034,,,,,,,0,,,,,,,,,,,
79,--,---035,,,,,,,0,,,,,,,,,,,
80,--,---036,,,,,,,0,,,,,,,,,,,
81,--,---037,,,,,,,0,,,,,,,,,,,
82,--,---038,,,,,,,0,,,,,,,,,,,
83,--,---039,,,,,,,0,,,,,,,,,,,
84,--,---040,,,,,,,0,,,,,,,,,,,
85,--,---041,,,,,,,0,,,,,,,,,,,
86,--,---042,,,,,,,0,,,,,,,,,,,
87,--,---043,,,,,,,0,,,,,,,,,,,
88,--,---044,,,,,,,0,,,,,,,,,,,
89,--,---045,,,,,,,0,,,,,,,,,,,
90,--,---046,,,,,,,0,,,,,,,,,,,
91,--,---047,,,,,,,0,,,,,,,,,,,
92,--,---048,,,,,,,0,,,,,,,,,,,
93,--,---049,,,,,,,0,,,,,,,,,,,
94,--,---050,,,,,,,0,,,,,,,,,,,
95,--,---051,,,,,,,0,,,,,,,,,,,
96,--,---052,,,,,,,0,,,,,,,,,,,
97,--,---053,,,,,,,0,,,,,,,,,,,
98,--,---054,,,,,,,0,,,,,,,,,,,
99,--,---055,,,,,,,0,,,,,,,,,,,
100,--,---056,,,,,,,0,,,,,,,,,,,
101,--,---057,,,,,,,0,,,,,,,,,,,
102,--,---058,,,,,,,0,,,,,,,,,,,
103,--,---059,,,,,,,0,,,,,,,,,,,
104,--,---060,,,,,,,0,,,,,,,,,,,
105,--,---061,,,,,,,0,,,,,,,,,,,
106,--,---062,,,,,,,0,,,,,,,,,,,
107,--,---063,,,,,,,0,,,,,,,,,,,
108,--,---064,,,,,,,0,,,,,,,,,,,
109,--,---065,,,,,,,0,,,,,,,,,,,
110,--,---066,,,,,,,0,,,,,,,,,,,
111,--,---067,,,,,,,0,,,,,,,,,,,
112,--,---068,,,,,,,0,,,,,,,,,,,
113,--,---069,,,,,,,0,,,,,,,,,,,
114,--,---070,,,,,,,0,,,,,,,,,,,
115,--,---071,,,,,,,0,,,,,,,,,,,
116,--,---072,,,,,,,0,,,,,,,,,,,
117,--,---073,,,,,,,0,,,,,,,,,,,
118,--,---074,,,,,,,0,,,,,,,,,,,
119,--,---075,,,,,,,0,,,,,,,,,,,
120,--,---076,,,,,,,0,,,,,,,,,,,
121,--,---077,,,,,,,0,,,,,,,,,,,
122,--,---078,,,,,,,0,,,,,,,,,,,
123,--,---079,,,,,,,0,,,,,,,,,,,
124,--,---080,,,,,,,0,,,,,,,,,,,
125,--,---081,,,,,,,0,,,,,,,,,,,
126,--,---082,,,,,,,0,,,,,,,,,,,
127,--,---083,,,,,,,0,,,,,,,,,,,
128,--,---084,,,,,,,0,,,,,,,,,,,
129,--,---085,,,,,,,0,,,,,,,,,,,
130,--,---086,,,,,,,0,,,,,,,,,,,
131,--,---087,,,,,,,0,,,,,,,,,,,
132,--,---088,,,,,,,0,,,,,,,,,,,
133,--,---089,,,,,,,0,,,,,,,,,,,
134,--,---090,,,,,,,0,,,,,,,,,,,
135,--,---091,,,,,,,0,,,,,,,,,,,
136,--,---092,,,,,,,0,,,,,,,,,,,
137,--,---093,,,,,,,0,,,,,,,,,,,
138,--,---094,,,,,,,0,,,,,,,,,,,
139,--,---095,,,,,,,0,,,,,,,,,,,
140,--,---096,,,,,,,0,,,,,,,,,,,
141,--,---097,,,,,,,0,,,,,,,,,,,
142,--,---098,,,,,,,0,,,,,,,,,,,
143,--,---099,,,,,,,0,,,,,,,,,,,
144,--,---100,,,,,,,0,,,,,,,,,,,
145,--,---101,,,,,,,0,,,,,,,,,,,
146,--,---102,,,,,,,0,,,,,,,,,,,
147,--,---103,,,,,,,0,,,,,,,,,,,
148,--,---104,,,,,,,0,,,,,,,,,,,
149,--,---105,,,,,,,0,,,,,,,,,,,
150,--,---106,,,,,,,0,,,,,,,,,,,
151,--,---107,,,,,,,0,,,,,,,,,,,
152,--,---108,,,,,,,0,,,,,,,,,,,
153,--,---109,,,,,,,0,,,,,,,,,,,
154,--,---110,,,,,,,0,,,,,,,,,,,
155,--,---111,,,,,,,0,,,,,,,,,,,
156,--,---112,,,,,,,0,,,,,,,,,,,
157,--,---113,,,,,,,0,,,,,,,,,,,
158,--,---114,,,,,,,0,,,,,,,,,,,
159,--,---115,,,,,,,0,,,,,,,,,,,
160,--,---116,,,,,,,0,,,,,,,,,,,
161,--,---117,,,,,,,0,,,,,,,,,,,
162,--,---118,,,,,,,0,,,,,,,,,,,
163,--,---119,,,,,,,0,,,,,,,,,,,
164,--,---120,,,,,,,0,,,,,,,,,,,
165,--,---121,,,,,,,0,,,,,,,,,,,
166,--,---122,,,,,,,0,,,,,,,,,,,
167,--,---123,,,,,,,0,,,,,,,,,,,
168,--,---124,,,,,,,0,,,,,,,,,,,
169,--,---125,,,,,,,0,,,,,,,,,,,
170,--,---126,,,,,,,0,,,,,,,,,,,
171,--,---127,,,,,,,0,,,,,,,,,,,
172,--,---128,,,,,,,0,,,,,,,,,,,
173,--,---129,,,,,,,0,,,,,,,,,,,
174,--,---130,,,,,,,0,,,,,,,,,,,
175,--,---131,,,,,,,0,,,,,,,,,,,
176,--,---132,,,,,,,0,,,,,,,,,,,
177,--,---133,,,,,,,0,,,,,,,,,,,
178,--,---134,,,,,,,0,,,,,,,,,,,
179,--,---135,,,,,,,0,,,,,,,,,,,
180,--,---136,,,,,,,0,,,,,,,,,,,
181,--,---137,,,,,,,0,,,,,,,,,,,
182,--,---138,,,,,,,0,,,,,,,,,,,
183,--,---139,,,,,,,0,,,,,,,,,,,
184,--,---140,,,,,,,0,,,,,,,,,,,
185,--,---141,,,,,,,0,,,,,,,,,,,
186,--,---142,,,,,,,0,,,,,,,,,,,
187,--,---143,,,,,,,0,,,,,,,,,,,
188,--,---144,,,,,,,0,,,,,,,,,,,
189,--,---145,,,,,,,0,,,,,,,,,,,
190,--,---146,,,,,,,0,,,,,,,,,,,
191,--,---147,,,,,,,0,,,,,,,,,,,
192,--,---148,,,,,,,0,,,,,,,,,,,
193,--,---149,,,,,,,0,,,,,,,,,,,
194,--,---150,,,,,,,0,,,,,,,,,,,
195,--,---151,,,,,,,0,,,,,,,,,,,
196,--,---152,,,,,,,0,,,,,,,,,,,
197,--,---153,,,,,,,0,,,,,,,,,,,
198,--,---154,,,,,,,0,,,,,,,,,,,
199,--,---155,,,,,,,0,,,,,,,,,,,
200,--,---156,,,,,,,0,,,,,,,,,,,
201,--,---157,,,,,,,0,,,,,,,,,,,
202,--,---158,,,,,,,0,,,,,,,,,,,
203,--,---159,,,,,,,0,,,,,,,,,,,
204,--,---160,,,,,,,0,,,,,,,,,,,
205,--,---161,,,,,,,0,,,,,,,,,,,
206,--,---162,,,,,,,0,,,,,,,,,,,
207,--,---163,,,,,,,0,,,,,,,,,,,
208,--,---164,,,,,,,0,,,,,,,,,,,
209,--,---165,,,,,,,0,,,,,,,,,,,
210,--,---166,,,,,,,0,,,,,,,,,,,
211,--,---167,,,,,,,0,,,,,,,,,,,
212,--,---168,,,,,,,0,,,,,,,,,,,
213,--,---169,,,,,,,0,,,,,,,,,,,
214,--,---170,,,,,,,0,,,,,,,,,,,
215,--,---171,,,,,,,0,,,,,,,,,,,
216,--,---172,,,,,,,0,,,,,,,,,,,
217,--,---173,,,,,,,0,,,,,,,,,,,
218,--,---174,,,,,,,0,,,,,,,,,,,
219,--,---175,,,,,,,0,,,,,,,,,,,
220,--,---176,,,,,,,0,,,,,,,,,,,
221,--,---177,,,,,,,0,,,,,,,,,,,
222,--,---178,,,,,,,0,,,,,,,,,,,
223,--,---179,,,,,,,0,,,,,,,,,,,
224,--,---180,,,,,,,0,,,,,,,,,,,
225,--,---181,,,,,,,0,,,,,,,,,,,
226,--,---182,,,,,,,0,,,,,,,,,,,
227,--,---183,,,,,,,0,,,,,,,,,,,
228,--,---184,,,,,,,0,,,,,,,,,,,
229,--,---185,,,,,,,0,,,,,,,,,,,
230,--,---186,,,,,,,0,,,,,,,,,,,
231,--,---187,,,,,,,0,,,,,,,,,,,
232,--,---188,,,,,,,0,,,,,,,,,,,
233,--,---189,,,,,,,0,,,,,,,,,,,
234,--,---190,,,,,,,0,,,,,,,,,,,
235,--,---191,,,,,,,0,,,,,,,,,,,
236,--,---192,,,,,,,0,,,,,,,,,,,
237,--,---193,,,,,,,0,,,,,,,,,,,
238,--,---194,,,,,,,0,,,,,,,,,,,
239,--,---195,,,,,,,0,,,,,,,,,,,
240,--,---196,,,,,,,0,,,,,,,,,,,
241,--,---197,,,,,,,0,,,,,,,,,,,
242,--,---198,,,,,,,0,,,,,,,,,,,
243,--,---199,,,,,,,0,,,,,,,,,,,
244,--,---200,,,,,,,0,,,,,,,,,,,
245,--,---201,,,,,,,0,,,,,,,,,,,
246,--,---202,,,,,,,0,,,,,,,,,,,
247,--,---203,,,,,,,0,,,,,,,,,,,
248,--,---204,,,,,,,0,,,,,,,,,,,
249,--,---205,,,,,,,0,,,,,,,,,,,
250,--,---206,,,,,,,0,,,,,,,,,,,
251,--,---207,,,,,,,0,,,,,,,,,,,
252,--,---208,,,,,,,0,,,,,,,,,,,
253,--,---209,,,,,,,0,,,,,,,,,,,
254,--,---210,,,,,,,0,,,,,,,,,,,
255,--,---211,,,,,,,0,,,,,,,,,,,
256,--,---212,,,,,,,0,,,,,,,,,,,
257,--,---213,,,,,,,0,,,,,,,,,,,
258,--,---214,,,,,,,0,,,,,,,,,,,
259,--,---215,,,,,,,0,,,,,,,,,,,
260,--,---216,,,,,,,0,,,,,,,,,,,
261,--,---217,,,,,,,0,,,,,,,,,,,
262,--,---218,,,,,,,0,,,,,,,,,,,
263,--,---219,,,,,,,0,,,,,,,,,,,
264,--,---220,,,,,,,0,,,,,,,,,,,
265,--,---221,,,,,,,0,,,,,,,,,,,
266,--,---222,,,,,,,0,,,,,,,,,,,
267,--,---223,,,,,,,0,,,,,,,,,,,
268,--,---224,,,,,,,0,,,,,,,,,,,
269,--,---225,,,,,,,0,,,,,,,,,,,
270,--,---226,,,,,,,0,,,,,,,,,,,
271,--,---227,,,,,,,0,,,,,,,,,,,
272,--,---228,,,,,,,0,,,,,,,,,,,
273,--,---229,,,,,,,0,,,,,,,,,,,
274,--,---230,,,,,,,0,,,,,,,,,,,
275,--,---231,,,,,,,0,,,,,,,,,,,
276,--,---232,,,,,,,0,,,,,,,,,,,
277,--,---233,,,,,,,0,,,,,,,,,,,
278,--,---234,,,,,,,0,,,,,,,,,,,
279,--,---235,,,,,,,0,,,,,,,,,,,
280,--,---236,,,,,,,0,,,,,,,,,,,
281,--,---237,,,,,,,0,,,,,,,,,,,
282,--,---238,,,,,,,0,,,,,,,,,,,
283,--,---239,,,,,,,0,,,,,,,,,,,
284,--,---240,,,,,,,0,,,,,,,,,,,
285,--,---241,,,,,,,0,,,,,,,,,,,
286,--,---242,,,,,,,0,,,,,,,,,,,
287,--,---243,,,,,,,0,,,,,,,,,,,
288,--,---244,,,,,,,0,,,,,,,,,,,
289,--,---245,,,,,,,0,,,,,,,,,,,
290,--,---246,,,,,,,0,,,,,,,,,,,
291,--,---247,,,,,,,0,,,,,,,,,,,
292,--,---248,,,,,,,0,,,,,,,,,,,
293,--,---249,,,,,,,0,,,,,,,,,,,
294,--,---250,,,,,,,0,,,,,,,,,,,
295,--,---251,,,,,,,0,,,,,,,,,,,
